X,Y
0.0000,77
0.0651,77
0.1302,77
0.1953,77
0.2603,77
0.3254,38
0.3905,77
0.4556,77
0.5207,38
0.5858,77
0.6508,77
0.7159,77
0.7810,77
0.8461,77
0.9112,38
0.9763,38
1.0413,38
1.1064,38
1.1715,38
1.2366,77
1.3017,77
1.3668,77
1.4318,38
1.4969,77
1.5620,77
1.6271,77
1.6922,77
1.7573,77
1.8224,38
1.8874,38
1.9525,77
2.0176,77
2.0827,38
2.1478,77
2.2129,77
2.2779,77
2.3430,77
2.4081,77
2.4732,77
2.5383,38
2.6034,77
2.6684,38
2.7335,38
2.7986,38
2.8637,77
2.9288,77
2.9939,38
3.0589,77
3.1240,77
3.1891,38
3.2542,77
3.3193,38
3.3844,38
3.4494,77
3.5145,77
3.5796,77
3.6447,77
3.7098,38
3.7749,38
3.8400,38
3.9050,38
3.9701,38
4.0352,77
4.1003,38
4.1654,77
4.2305,38
4.2955,77
4.3606,77
4.4257,115
4.4908,115
4.5559,77
4.6210,77
4.6860,77
4.7511,77
4.8162,77
4.8813,38
4.9464,77
5.0115,77
5.0765,77
5.1416,38
5.2067,77
5.2718,77
5.3369,77
5.4020,77
5.4671,38
5.5321,38
5.5972,38
5.6623,77
5.7274,38
5.7925,77
5.8576,38
5.9226,77
5.9877,77
6.0528,77
6.1179,77
6.1830,77
6.2481,77
6.3131,77
6.3782,115
6.4433,77
6.5084,115
6.5735,77
6.6386,154
6.7036,77
6.7687,38
6.8338,77
6.8989,77
6.9640,77
7.0291,77
7.0941,77
7.1592,115
7.2243,154
7.2894,115
7.3545,77
7.4196,154
7.4847,115
7.5497,115
7.6148,115
7.6799,115
7.7450,77
7.8101,154
7.8752,38
7.9402,77
8.0053,77
8.0704,77
8.1355,77
8.2006,77
8.2657,77
8.3307,77
8.3958,77
8.4609,115
8.5260,77
8.5911,77
8.6562,77
8.7212,77
8.7863,77
8.8514,115
8.9165,192
8.9816,77
9.0467,77
9.1118,77
9.1768,38
9.2419,77
9.3070,77
9.3721,38
9.4372,38
9.5023,77
9.5673,77
9.6324,77
9.6975,77
9.7626,77
9.8277,77
9.8928,77
9.9578,77
10.0229,77
10.0880,77
10.1531,77
10.2182,77
10.2833,38
10.3483,77
10.4134,115
10.4785,77
10.5436,77
10.6087,77
10.6738,115
10.7388,77
10.8039,77
10.8690,115
10.9341,38
10.9992,115
11.0643,77
11.1294,77
11.1944,77
11.2595,77
11.3246,77
11.3897,38
11.4548,115
11.5199,77
11.5849,77
11.6500,38
11.7151,77
11.7802,38
11.8453,38
11.9104,77
11.9754,77
12.0405,77
12.1056,77
12.1707,38
12.2358,77
12.3009,115
12.3659,77
12.4310,77
12.4961,77
12.5612,115
12.6263,38
12.6914,77
12.7565,77
12.8215,77
12.8866,77
12.9517,38
13.0168,38
13.0819,38
13.1470,77
13.2120,77
13.2771,115
13.3422,38
13.4073,77
13.4724,77
13.5375,77
13.6025,38
13.6676,77
13.7327,77
13.7978,115
13.8629,38
13.9280,77
13.9930,77
14.0581,77
14.1232,77
14.1883,77
14.2534,77
14.3185,77
14.3836,77
14.4486,38
14.5137,77
14.5788,77
14.6439,77
14.7090,38
14.7741,77
14.8391,77
14.9042,77
14.9693,77
15.0344,38
15.0995,77
